,name,url,year,text,cast,genre,director
486,Dhuwani,https://www.imdb.com/title/tt27874857/?ref_=sr_t_487,2013,missing,"'archana dellala', 'kishor khatiwada'",thriller,pitamberpandey
487,Aincho Paincho,https://www.imdb.com/title/tt28549224/?ref_=sr_t_488,2023,"Dilendra (Mukun Bhusal) positions in his political career in order to play the game with excellent ideals and ethics. His party, however, does not see him as a viable contender for the next election, despite the fact that his beliefs are highly valued by locals.","'mukun bhusal', 'ramesh budathoki'",drama,krishachaulagain
488,The Rat Hunters,https://www.imdb.com/title/tt1665017/?ref_=sr_t_489,2010,"The Rat Hunters is a documentary film that reflects the true lifestyle of rat hunting community 'MUSHAHAR' from south Asia. It is 5 days long bamboo trading journey on ancient oxen cart. It introduces the real rat eating people of the world whose community name is derived from the fact that they eat rat. The word mushahar is made up of two words 'mush' meaning rat and 'ahar' meaning food, thus the people who eat rat are called mushahar. The Rat Hunter is story of a 60 years old mushahar man who works as a bounded labor for landlord as his forefathers, and shows his hardship of bamboo trading trip.",'bikon saday',"adventure, documentary",pradeepsharma
489,DristiBhram,https://www.imdb.com/title/tt4361472/?ref_=sr_t_490,2015,"Aman Nepal has an incident which he doesn't remember. With a series of hallucinations, he is struggling to remember what happened the other night.","'kiran thapa', 'bijay kunwar'","drama, mystery, romance",kiranthapa
490,Manjari,https://www.imdb.com/title/tt6710486/?ref_=sr_t_491,2013,A girl from rich family falls in love with a guy who works in garage.,"'abaha aryal', 'sarita bhandari'","drama, romance",ganeshdevpanday
491,Cha Cha Hui,https://www.imdb.com/title/tt11088098/?ref_=sr_t_492,2019,"Two unfortunate idiots Prem (Aryan Sigdel) and Bhola (Bholaraj Sapkota) returns homeland Nepal, in search of Prem's father with a book that they got as a gift from Shyamlal (Maotse Gurung) in HongKong, until they gets entangled in a web of goons and mafia who are obsessed on getting that book.","'aaryan sigdel', 'miruna magar'","comedy, drama, romance",samtenbhutia
492,Dui Rupaiyan,https://www.imdb.com/title/tt6944552/?ref_=sr_t_493,2017,"One day, while conducting such smuggling, they lose the transaction slip - a Rs. 2 note. The film ""Dui Rupaiyan"" entails their quest to find that Rs. 2 and save their necks, all the while saving themselves from local thugs, police, and their boss too.","'nischal basnet', 'asif shah'","action, drama",asimshah
493,Daag,https://www.imdb.com/title/tt0325215/?ref_=sr_t_494,2001,missing,"'anupama prasai koirala', 'rajani rana'",drama,akashadhikari
494,3 Lovers,https://www.imdb.com/title/tt18339180/?ref_=sr_t_495,2012,missing,"'niraj baral', 'priyanka karki'",drama,sureshdarpanpokharel
495,Juna,https://www.imdb.com/title/tt33312039/?ref_=sr_t_496,1h 40m,"A 13-year-old Nepali girl faces polygamy, tormented by her husband's family amid an illiterate society upholding the menstrual taboo of Chaupadi.",'jiban century',drama,jibancentury
496,Who Will Be a Gurkha,https://www.imdb.com/title/tt2500034/?ref_=sr_t_497,2012,"This documentary observes Nepalese youth participating in the recruitment process of the British Gurkha Regiment. Attracted by high pay, they take part so as to become soldiers.",'kesang tseten',documentary,kesangtseten
497,Mausam,https://www.imdb.com/title/tt8809286/?ref_=sr_t_498,2009,missing,"'rajesh hamal', 'sharmila malla'",drama,shyambhattarai
498,Romeo & Muna,https://www.imdb.com/title/tt7301950/?ref_=sr_t_499,2018,"They meet, they collide, they accept, they forgive. But will they be together, unlike in epic love stories ""Romeo and Juliet"" or ""Muna Madan""?","'vinay shrestha', 'shristi shrestha'","drama, romance",nareshkumarkc
499,Hifajat,https://www.imdb.com/title/tt8728132/?ref_=sr_t_500,2010,"Kirti (Rekha Thapa) is a spoiled brat, estranged from her rich businessman father. The courageous girl likes to create trouble in her college, but she is also a loving friend. Kriti rebels when her father hires Arjun (Aayush Regmi), an ex-army tough-guy, as a bodyguard. To protest she made a charming thier, Aryan (Aryan Sigdel), a friend. Aryan has a secret of his own. Because of Aryan's secret motives, he betrayed Kriti and leaves her in danger. Arjun vows to take care of Kriti until she is reunited with Aryan, Kriti's love-of-life. The road to the true love is filled with dangers, and twists and turns. The path ultimately challenges Kriti's views of what the life and love is.","'rekha thapa', 'aaryan sigdel'",drama,gyanendrabahadurdeuja
500,Producer,https://www.imdb.com/title/tt4852030/?ref_=sr_t_501,2014,Three friends struggle to make a cinema which brings lots of fluctuality in their daily life.,"'ram prasad aryal', 'shyam aryal'",comedy,janakdeepparajuli
501,I Am Sorry,https://www.imdb.com/title/tt2368945/?ref_=sr_t_502,2012,"Gaurav and Shruti love each other unconditionally, but both share some secret about their past.","'aaryan sigdel', 'keki adhikari'",romance,dineshraut
502,Tai Chup Mai Chup,https://www.imdb.com/title/tt33307971/?ref_=sr_t_503,missing,A Minister's date night is ruined by the arrival of an uninvited guest.,'santosh adhikari',"comedy, drama",ghanshyamlamichhane
