,name,url,year,text,cast,genre,director
0,Purna Bahadur Ko Sarangi,https://www.imdb.com/title/tt34498407/?ref_=sr_t_1,2024,"A struggling single father battles poverty, using his musical talents to support and inspire his son. Together, they persevere through hardship, fueled by the father's dream of a better life.","'bijay baral', 'prakash saput'",drama,sarojpoudel
1,Shambhala,https://www.imdb.com/title/tt30804400/?ref_=sr_t_2,2024,"In a Himalayan polyandrous village, pregnant PEMA faces scrutiny as her husband vanishes. With her monk brother-in-law, her de facto spouse, she seeks him in the wild, unraveling her own self-discovery along the journey","'thinley lhamo', 'sonam topden'",drama,minbahadurbham
2,The Man from Kathmandu Vol. 1,https://www.imdb.com/title/tt5364878/?ref_=sr_t_3,2019,"More than 20000 foreign fighters have joined ISIS, this story is different..","'gulshan grover', 'anna sharma'","action, drama",pemadhondup
3,Behuli from Meghauli,https://www.imdb.com/title/tt33097765/?ref_=sr_t_4,2024,"Behuli from Meghauli is a Nepali social drama about a father's struggle to find a perfect groom for his daughter, while she searches for true love. The film highlights family expectations with humor and emotion.","'bijay baral', 'nischal basnet'","comedy, drama",aakashbaral
4,12 Gaun,https://www.imdb.com/title/tt33655825/?ref_=sr_t_5,2024,"A son's quest for vengeance against a tyrannical village chief who murdered his parents. The chief rules through fear, oppressing villagers with his gang, forbidding escape. The son must confront the chief's ruthless reign to seek justice.","'biraj bhatta', 'samir bhatt'",action,birajbhatta
5,Dayarani,https://www.imdb.com/title/tt31243117/?ref_=sr_t_6,2024,missing,"'bijay baral', 'diya pun'",drama,maotsegurung
6,Prem Geet 3,https://www.imdb.com/title/tt21741272/?ref_=sr_t_7,2022,"Prem, the younger prince of the Kingdom of Khazaag, born in an auspicious astrological time to be the future King goes through his biggest obstacle in life, Geet, his only love.","'pradeep khadka', 'kristina gurung'","action, romance",chhetangurung
7,Khusma,https://www.imdb.com/title/tt33399689/?ref_=sr_t_8,2024,missing,"'dhiraj magar', 'upasana singh thakuri'","drama, family",ashokthapa
8,Death Zone: Cleaning Mount Everest,https://www.imdb.com/title/tt1999130/?ref_=sr_t_9,2018,"The dramatic self-documented story of 20 elite Nepali climbers who venture into the ""Death Zone"" of Mount Everest to restore their sacred mountain and the contaminated water source of 1.3 billion people.","'namgyal sherpa', 'chakra b. karki'","adventure, documentary, drama",marinamartins
9,Jaari,https://www.imdb.com/title/tt27513017/?ref_=sr_t_10,2023,Based on the love story of the Limbu community and will show the struggle of a man to bring back his wife.,"'dayahang rai', 'miruna magar'",drama,upendrasubba
10,Gharjwai,https://www.imdb.com/title/tt33051733/?ref_=sr_t_11,2024,"""Gharjwai"" revolves around the intertwined lives of three main characters: a seasoned farmer, a spirited young woman, and a mysterious stranger. As secrets unravel and emotions collide, the film explores themes of love, sacrifice, and redemption. Amidst breathtaking landscapes and cultural traditions, the characters grapple with their pasts, forging unexpected connections that will forever change their destinies.","'shishir bangdel', 'miruna lisara magar'","drama, romance",anilbudhamagar
11,Jhola,https://www.imdb.com/title/tt3700482/?ref_=sr_t_12,2013,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal.","'garima panta', 'sujal nepal'","drama, history",yadavkumarbhattarai
12,Pujar Sarki,https://www.imdb.com/title/tt30497217/?ref_=sr_t_13,2024,"Three individuals unite against societal norms perpetuating caste discrimination, facing challenges in their collective struggle to defy the existing caste-based social order.","'aaryan sigdel', 'pradeep khadka'",drama,dineshraut
13,Bato: Road to Death,https://www.imdb.com/title/tt27618765/?ref_=sr_t_14,2024,"A paramedic, Komal gets assigned to a mission of delivering live human heart for transplant in an ambulance where she encounters mysterious people in her journey, with Manjil and Tony, leading to gruesome mishaps and dreadful events.","'mithila sharma', 'ashant sharma'","mystery, thriller",madanthapa
14,"Pooja, Sir",https://www.imdb.com/title/tt33030379/?ref_=sr_t_15,2024,"When two boys are kidnapped in a border town in Nepal, Detective Inspector Pooja is sent from Kathmandu to solve the case. But when she arrives, the brewing political unrest and violent protests throw her off course, and she is forced to seek help from Mamata, a local Madhesi policewoman. By putting aside systemic discrimination and pushing through everyday misogyny, the women solve the case - but at what personal cost? Inspired by real events which took place in Southern Nepal during the 2015 race protests.","'asha magrati', 'nikita chandak'","crime, thriller",deepakrauniyar
15,Boksi Ko Ghar,https://www.imdb.com/title/tt32332133/?ref_=sr_t_16,2024,"The plot follows a journalist investigating a village woman accused of witchcraft, attempting to uncover the truth behind the false accusations.","'keki adhikari', 'shupala sapkota'",thriller,sulakshyanbharati
16,Chhakka Panja 5,https://www.imdb.com/title/tt33829913/?ref_=sr_t_17,2024,missing,"'deepak raj giri', 'kedar ghimire'",comedy,deepashreeniraula
17,Hrashwo Deergha,https://www.imdb.com/title/tt33058210/?ref_=sr_t_18,2024,missing,"'harihar adhikari', 'mohammad ali'","action, comedy, drama",chandrapant
18,Pradeshi 2,https://www.imdb.com/title/tt29100768/?ref_=sr_t_19,2023,"It is an Nepali movie that explores the theme of Nepali youth going abroad for further studies, leaving their families behind. It likely delves into the challenges and emotions experienced by both the young individuals abroad .","'keki adhikari', 'dilip rayamajhi'","drama, family",narayanrayamajhi
19,Tel Visa,https://www.imdb.com/title/tt32562922/?ref_=sr_t_20,2h 34m,"Family from Nepal navigates cultural clashes in USA, social media's impact. Questions arise: cultural differences criminal? What's ""normal""? Family unity tested, survival uncertain.","'frances sherman', 'bipin karki'",drama,shankarghimire
20,A Road to a Village,https://www.imdb.com/title/tt21249176/?ref_=sr_t_21,2023,"A road constructed in a village brings development, opportunities but at some cost.","'dayahang rai', 'pashupati rai'",drama,nabinsubba
21,Chhakka Panja 4,https://www.imdb.com/title/tt26934236/?ref_=sr_t_22,2023,"A powerful man manipulates his way into politics. Over time, transformative experiences guide him towards a more ethical path, shifting his motivations and actions in a righteous direction.","'deepak raj giri', 'kedar ghimire'",comedy,hemrajbc
22,Bulbul,https://www.imdb.com/title/tt8622286/?ref_=sr_t_23,2019,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.,"'swastima khadka', 'mukunda bhusal'",drama,binodpaudel
23,Eklo I,https://www.imdb.com/title/tt32400671/?ref_=sr_t_24,missing,"In 2090, the last human survivor lives in Nepal's mountains. When two astronauts return to Earth, they meet this sole survivor and unravel the mystery of zombies roaming the land, after humanity fled a virus outbreak in 2030.","'jamie bacon', 'pradeep khadka'",sci-fi,pradeepshahi
24,Kaha Bhetiyela,https://www.imdb.com/title/tt8374202/?ref_=sr_t_25,2008,missing,"'rabi giri', 'shweta khadka'",drama,shivaregmi
25,The Black Hen,https://www.imdb.com/title/tt4991660/?ref_=sr_t_26,2015,"They are bonded, nonetheless, by friendship and affection for a hen, whose eggs just might make a difference to Prakash's impoverished family. When the boy's father sells the bird, the chums desperately attempt to raise funds in order to buy it back.","'khadka raj nepali', 'sukra raj rokaya'","action, drama, history",minbahadurbham
26,Parastree,https://www.imdb.com/title/tt27950021/?ref_=sr_t_27,2023,Revolves around what happens after extra marital affairs.,"'saraswati adhikari', 'jhaken bc'",thriller,surajpandey
27,Ek Bhagavad Ra Ek Geeta,https://www.imdb.com/title/tt29253420/?ref_=sr_t_28,2023,missing,"'bipin karki', 'kabir khadka'",action,jharanathapa
28,Facebook,https://www.imdb.com/title/tt8761830/?ref_=sr_t_29,2012,missing,"'sbhan amini', 'rajesh hamal'",drama,surajsubba
29,Pashupati Prasad,https://www.imdb.com/title/tt5691226/?ref_=sr_t_30,2016,"When a man named Pashuati travels to Kathmandu to repay his father's debts, he discovers the sacred site of Pashupatinath. There, he confronts the dangers that lurk in the city.","'khagendra lamichhane', 'rabindra singh baniya'","comedy, drama, romance",dipendrak.khanal
30,Looking for a Lady with Fangs and a Moustache,https://www.imdb.com/title/tt11165704/?ref_=sr_t_31,2019,"When a series of visions send a skeptical entrepreneur to seek spiritual advice, an eccentric Buddhist monk predicts his imminent death, unless he can locate an elusive lady with fangs.","'orgyen tobgyal rinpoche', 'tsering tashi gyalthang'","drama, mystery",khyentsenorbu
31,Pashupati Prasad 2 Bhasme Don,https://www.imdb.com/title/tt29005176/?ref_=sr_t_32,2023,"Bhashme struggles to collect 10 lakhs rupees after learning that he'll get to meet his parents whom he has never seen. When Bhashme collects 10 lakhs of rupees after working in various ways, his friends steal his hard earned money from him. Bhashme starts a struggle with the aim of bringing back the ten lakh rupees taken from him and meeting his parents.","'rabindra singh baniya', 'bipin karki'","comedy, drama",dipendrak.khanal
32,Tandavam,https://www.imdb.com/title/tt33892868/?ref_=sr_t_33,2024,A simple lovely couple is expecting their first baby. Their happy life takes a mysterious turn and unleashes a massacre.,"'junim gahatraj', 'ankeet khadka'",thriller,junimgahatraj
33,Aama,https://www.imdb.com/title/tt12320684/?ref_=sr_t_34,2020,Yagya Prasad Aryal is in an incident which caused a serious head injury. His wife admits him to a hospital in Kathmandu.,"'saroj aryal', 'laxmi bhusal'",drama,dipendrak.khanal
34,A Place Under the Sun,https://www.imdb.com/title/tt32186678/?ref_=sr_t_35,2024,"Shot on iPhone 14 Pro Max, three best friends host a farewell barbecue before starting new chapters in their lives. The celebration quickly unravels when an uninvited stranger arrives, triggering unexpected revelations and hidden secrets.","'prabesh chettri', 'biplov gauli'","crime, drama",jasonlopchan
35,Bhool Bhulaiyaa,https://www.imdb.com/title/tt9081378/?ref_=sr_t_36,2015,missing,"'neeta dhungana', 'jiwan luitel'",romance,yogeshghimire
36,Jeevan Rekha,https://www.imdb.com/title/tt8500232/?ref_=sr_t_37,1982,missing,"'shiv shrestha', 'menakshi anand'",drama,prakashthapa
37,Superhit,https://www.imdb.com/title/tt10240904/?ref_=sr_t_38,2016,missing,"'binita baral', 'sudam ck'",thriller,niranjanpandey
38,The Red Suitcase,https://www.imdb.com/title/tt28495418/?ref_=sr_t_39,2023,"A pick-up truck driver leaves Kathmandu airport for a two-day drive with a delivery to a remote mountain village. On the high road, a solitary figure slowly makes his way, wheeling a small red suitcase toward the same village.","'b. bishowkarma', 'anju deuja'","drama, horror, mystery",fideldevkota
39,Agastya - Chapter 1,https://www.imdb.com/title/tt31433228/?ref_=sr_t_40,2024,"Saurya is haunted by a difficult past and grapples with his troubled mind. After a year, his brother embarks on a quest to find him. A touching story unfolds as Nisan delves into Saurya's history.","'saugat malla', 'najir hussain'","action, mystery, thriller",sauravchaudhary
40,Kabaddi,https://www.imdb.com/title/tt3696800/?ref_=sr_t_41,2014,"Kaji a young aimless man dreams of marrying Maiya, a village girl by any means although she wants to go to the city for higher education. Their lives are thrown into turmoil with the arrival of Bibek, a charming young man from the city.","'dayahang rai', 'nischal basnet'","comedy, drama, romance",rambabugurung
41,Tukdam: Between Worlds,https://www.imdb.com/title/tt21945758/?ref_=sr_t_42,2022,First document about a tibetan meditation that preserves the body from days to weeks after traditionally considered death.,"'the dalai lama', 'richard davidson'",documentary,donaghcoleman
42,Janma Janma,https://www.imdb.com/title/tt5093756/?ref_=sr_t_43,1994,"""JANAM JANAM"" is a Love Story Social family Drama.","'kumud pant', 'dhiren shakya'",romance,sitalnepal
43,Dimag Kharab,https://www.imdb.com/title/tt29481471/?ref_=sr_t_44,2023,"When bureaucratic barriers obstruct Indra Sharma's desire to work overseas, his dreams of a stable family life take a turbulent turn.","'bijay baral', 'maotse gurung'","comedy, drama",nischalbasnet
44,Highway to Dhampus,https://www.imdb.com/title/tt2296799/?ref_=sr_t_45,2014,"When Laxmi, headmistress of a small orphanage in Nepal, is visited by a rich socialite attempting to fix her image through charitable acts, a chain of events is set in motion that affects everyone involved.","'rachel hurd-wood', 'gunner wright'","drama, romance",rickmcfarland
45,Saino,https://www.imdb.com/title/tt7054392/?ref_=sr_t_46,1988,"Disillusioned with their life abroad, Tripti and Akaash return to their homeland with their young son, Binu, seeking a fresh start and a deeper sense of belonging.","'bhuwan k.c.', 'tripti nadakar'",drama,ugyenchhopel
46,Degree Maila M.A 3rd Class,https://www.imdb.com/title/tt32031932/?ref_=sr_t_47,2024,The film explores the theme of education system and unemployment issues in Nepali society through this backstory.,"'bijay baral', 'shekhar chapagain'","comedy, drama",rambabugurung
47,Jump,https://www.imdb.com/title/tt29768769/?ref_=sr_t_48,2023,"Ashish, a national athlete, finds supernatural means to alter his timeline. As the demons of his past resurface in inexplicable ways, the film plunges into a thrilling exploration of twists and webs of corruption.","'saroj shrestha', 'binita thapa magar'","mystery, thriller",aasutoshdhojkarki
48,Loot,https://www.imdb.com/title/tt2179133/?ref_=sr_t_49,2012,A man with a 'master plan' to rob a bank searches and leads four frustrated men in their quest for quick money.,"'saugat malla', 'karma shakya'","crime, drama, thriller",nischalbasnet
49,White Sun,https://www.imdb.com/title/tt3638644/?ref_=sr_t_50,2016,"Anti-regime partisan Chandra confronts physical, social and political obstacles for his father's funeral. His search for a solution takes him to neighboring mountain villages and encounters with the police and rebel guerrillas. A portrait of post-civil war Nepal during the fragile deadlocked peace process.","'dayahang rai', 'asha magrati'","adventure, drama",deepakrauniyar
50,AKTOR,https://www.imdb.com/title/tt34111881/?ref_=sr_t_51,2025,missing,"'pradeep khadka', 'anna sharma'",thriller,rajanbhusal
51,Nango Gaun,https://www.imdb.com/title/tt33318880/?ref_=sr_t_52,2023,This movie describes about how voters sell their voting rights . Overall the movie is average with deep meaning.,"'shishir bangdel', 'miruna lisara magar'",drama,dipendralama
52,Karma,https://www.imdb.com/title/tt0844700/?ref_=sr_t_53,2006,"In a nunnery in the high desert mountains of Mustang, a revered abbess dies, leaving signs that she will be reborn in the precious human form. Prayers and ritual must be done to help her consciousness into its next rebirth, but the nunnery coffers are empty. The senior nuns decide that the only way out is get back money loaned out by the nunnery. A mysterious loan was made out to an equally mysterious Mr. Tashi who visited the senior nun in her last days. Given the shady rumours about Mr. Tashi, the nuns are convinced he took advantage of her in her dying state. Two nuns are assigned to retrieve the money; Karma, a free-spirited nun, and her opposite, a textbook-sort of nun called Sonam. They journey from the cloistered world of the high mountains, to the faraway cities of sin, to find the elusive Mr. Tashi.","'tsering dolkar', 'jampa kalsang tamang'",drama,tseringrhitarsherpa
53,Muna Madan,https://www.imdb.com/title/tt0304435/?ref_=sr_t_54,2003,"An epic tragedy, based on Nepal's most famous epic poem. Madan, a lower-class worker, is forced by poverty and mounting debts to go to Lhasa, Tibet, leaving behind his lonely mother and beloved wife, Muna. However, tragedy befalls him on the way home.","'deepak tripathi', 'usha paudel'",drama,gyanendrabahadurdeuja
54,Akaal,https://www.imdb.com/title/tt8915854/?ref_=sr_t_55,2014,missing,"'deepak chhetri', 'rajesh hamal'",drama,neerbikramshah
55,Small World,https://www.imdb.com/title/tt2007994/?ref_=sr_t_56,2008,Ravi and Reetu are good chat friends but they have got no idea that they hate each other in the real life situation.,"'karma shakya', 'namrata shrestha'","comedy, romance",aloknembang
56,Daanvi,https://www.imdb.com/title/tt32897722/?ref_=sr_t_57,2024,missing,"'bomjan kunsang', 'pooja sharma'",action,tamangrupesh
57,Mahajatra,https://www.imdb.com/title/tt31835725/?ref_=sr_t_58,2024,missing,"'hari bansha acharya', 'bipin karki'",comedy,pradeepbhattarai
58,Mansarra,https://www.imdb.com/title/tt32131305/?ref_=sr_t_59,2024,"Mansarra is a specific species of rice. According to legend, it doesn't sprout alone; its seeds are typically mixed with other rice species before planting. However, this film declares the existence of independent Mansarra.","'miruna lisara magar', 'dayahang rai'","comedy, drama, family",upendrasubba
59,Chhakka Panja 3,https://www.imdb.com/title/tt8393764/?ref_=sr_t_60,2018,"When she learns about the worst condition of the school, the headmaster's daughter decides to stay in the village to make it a better place.","'anish adhikary', 'kedar ghimire'",comedy,deepashreeniraula
60,The Secrets of Radha,https://www.imdb.com/title/tt23770642/?ref_=sr_t_61,2022,"Radha, a young pregnant woman from a village in Nepal, embarks on a journey to find her missing husband, a migrant worker in Doha, and discovers a web of lies, deceit and fraud.","'nischal basnet', 'divya dev'",drama,subarnathapa
61,Yatra: A Musical Vlog,https://www.imdb.com/title/tt9878856/?ref_=sr_t_62,2019,missing,"'salin man bania', 'janwhi basnet'","drama, romance",samratshakya
62,Kabaddi 4: The Final Match,https://www.imdb.com/title/tt16529002/?ref_=sr_t_63,2022,"After the events of Kabaddi 3, Kaji now doesn't seek love as he is suffering from the pain of his previous relationships. The movie revolves around Shanti (a new character), Kaji, and Bam Kaji.","'dayahang rai', 'saugat malla'",comedy,rambabugurung
63,Hostel,https://www.imdb.com/title/tt6501192/?ref_=sr_t_64,2013,"The film is about the struggling life of teenagers in hostel. It features love, betrayal, friendship,emotions, family ties and so on.","'rista basnet', 'salon basnet'",drama,hemrajbc
64,Mahapurush,https://www.imdb.com/title/tt23135286/?ref_=sr_t_65,2022,A widowed father of two sons finds love at an old age and struggles as a society and his own sons disapprove of it.,"'hari bansha acharya', 'rabindra singh baniya'",family,pradeepbhattarai
65,Kusume Rumal,https://www.imdb.com/title/tt2007972/?ref_=sr_t_66,1985,"A girl falls in love with her classmate. While everything seems right, a worker starts dreaming of marrying her and another classmate tries the same by force.","'bhuwan k.c.', 'tripti nadakar'","drama, musical, romance",tulsighimire
66,Kanchi,https://www.imdb.com/title/tt0316088/?ref_=sr_t_67,1984,missing,"'shiv shrestha', 'sharmila malla'",,b.s.thapa
67,Hami Tin Bhai,https://www.imdb.com/title/tt7471552/?ref_=sr_t_68,2004,"A Story of three brothers, bonded not by blood but by love and immense respect.","'rajesh hamal', 'shree krishna shrestha'","action, comedy",shivaregmi
68,Summer Love,https://www.imdb.com/title/tt9382076/?ref_=sr_t_69,2019,missing,"'shishir bhandari', 'rewati chetri'",romance,muskandhakal
69,Damaru Ko Dandibiyo,https://www.imdb.com/title/tt7971388/?ref_=sr_t_70,2018,Damaru comes back to his village to revive Dandibiyo but struggles to convince his father.,"'khagendra lamichhane', 'menuka pradhan'","drama, sport",chetangurung
70,Kagbeni,https://www.imdb.com/title/tt1729652/?ref_=sr_t_71,2008,"Old friends Krishna and Ramesh meet after ages and on their way home, an old hermit gives them ""a monkey's paw"" that has the power to grant wishes. And, from then onward, the paw changes everyone's life.","'saugat malla', 'deeya maskey'","drama, horror",bhusandahal
71,Gunyo Cholo: The Dress,https://www.imdb.com/title/tt27794666/?ref_=sr_t_72,missing,"Gulabi, a trans-woman is groomed by his patriarchal father to join the military. His father disowns him, leading him to live a life of prostitution in Kathmandu.","'sanchita luitel', 'bishal pahari'",drama,samundrabhatta
72,Prakash,https://www.imdb.com/title/tt14617248/?ref_=sr_t_73,2022,"An educated young boy from remote Nepal who dreams of becoming a teacher in a government school, the story of his struggle to fulfill his dream amidst economic hardships.","'pradeep khadka', 'deeya maskey'",drama,dineshraut
73,Jatra,https://www.imdb.com/title/tt6249904/?ref_=sr_t_74,2016,"An innocent, poor and hardworking man Phadindra Timsina (Bipin Karki) finds a sack full of 3 Crores Nepalese rupees stolen from a bank. He then consults with his 2 friends Jayas (Rabindra Singh Baniya) and Munna (Rabindra Jha) to make that money white.","'bipin karki', 'barsha raut'","action, comedy, drama",pradeepbhattarai
74,Nepali Babu,https://www.imdb.com/title/tt8259022/?ref_=sr_t_75,1999,A daughter of a rich father falls in love with a tempo driver when she visits Nepal from London.,"'bhuwan k.c.', 'sushmita k.c.'",drama,ugyenchhopel
75,Basanti,https://www.imdb.com/title/tt0303719/?ref_=sr_t_76,2000,"Basanti is a historical love story based on the novel by Diamond Shamsher.It depicts the story of a girl along with the accounts of the historical events during the time of Junga Bahadur Rana, the first Rana Prime Minister of Nepal.","'karishma manandhar', 'rajesh hamal'","history, musical, romance",neerbikramshah
76,Sherbahadur,https://www.imdb.com/title/tt7869010/?ref_=sr_t_77,2018,"Three people rob the houses of rich people when the owners are out of town. They then find out about Sherbahadur , a rich ex-army man and plan to rob his house.","'sunil thapa', 'karma shakya'","drama, thriller",rajrajbanshi
77,Dui Thopa Aansu,https://www.imdb.com/title/tt7007456/?ref_=sr_t_78,1993,"A series of unfortunate events compels an unmarried woman to raise a child, not her own.","'ramchandra adhikari', 'dayaram dahal'",drama,tulsighimire
78,Ainaa Jhyal Ko Putali,https://www.imdb.com/title/tt9623736/?ref_=sr_t_79,2020,"As the studious Bidya(13) prepares for her further studies, her juvenile brother Basanta(9) distracts her with his antics. But learning, his sister is giving up on her dreams, he struggles to give Bidya the hope she desperately needs.","'kanchan chimariya', 'dinesh khatri'",drama,sujitbidari
79,Kabaddi Kabaddi Kabaddi,https://www.imdb.com/title/tt10942220/?ref_=sr_t_80,2019,"In the film, Kaji tries to live rest of his life with Maiya's memories but he falls in love with another girl. The film generally got positive feedback from the critics","'kabita ale', 'bijay baral'","comedy, drama, romance",rambabugurung
80,Maitighar,https://www.imdb.com/title/tt7051562/?ref_=sr_t_81,1966,"Maitighar follows Maya, a widow struggling to raise her son after her husband's death. Facing societal judgment and hardships, she battles to rebuild her life, highlighting themes of love, loss, and resilience in a conservative society.","'mala sinha', 'chidambar prasad lohani'","drama, musical",b.s.thapa
81,Desan,https://www.imdb.com/title/tt29260980/?ref_=sr_t_82,2023,"Desan is a Nepali feature film based on the story of a social epidemic, it portrays family love, trust, betrayal and revenge. Desan (The Epidemic) is a purely social story. ""Desan"" literally means epidemic disease like Corona, Cholera, Cholera, Diarrhea, so this film is based on social epidemic. Desan is a phenomenon that we are seeing in our own society or we can say it is happening around the world. With the development of technology, its positive side is so much that even the impossible has been made possible by science. We are able to talk to people anywhere in the world and exchange information around the world with a handheld mobile phone sitting at home. Within these positivities there is also a negative/dark side too which touched me. During the middle of the shooting, covid 19 hit really hard. Due to its widespread , a nationwide lockdown was also announced in Nepal. We got confused and had to stop shooting and go back to our homes. On the one hand, the pain of having to leave the film in the middle, on the other hand, the worry of pandemic. As soon as the lockdown was eased, we tried resuming the shooting again, but the local authorities used to turn us away due to the fear of the spread of covid in the community. With so many pains and sufferings, we managed to finish the shoot in the fifth/sixth schedule, safe and sound.The misuse of social media, has put negative impact on personal privacy and in the society. So in this film, an attempt has been made to portray the problem that is spreading in the society due to the misuse of social media.","'bholaraj sapkota', 'namrata sapkota'",drama,kamalekchaimagar
82,Nalapani,https://www.imdb.com/title/tt26087954/?ref_=sr_t_83,2022,missing,"'deshbhakta khanal', 'santosh pant'","drama, history",rimeshadhikari
83,Ramkahani,https://www.imdb.com/title/tt7889902/?ref_=sr_t_84,2018,An adult returns from Qatar to Nepal in maintaining his love life.,"'aakash shrestha', 'pooja sharma'","comedy, horror, romance",sudarshanthapa
84,Khajure Bro,https://www.imdb.com/title/tt32340161/?ref_=sr_t_85,2024,missing,"'prakash bhujel', 'nabin manandhar'",comedy,surajsunuwar
85,Jhingedaau,https://www.imdb.com/title/tt22037606/?ref_=sr_t_86,2022,missing,"'keki adhikari', 'mukun bhusal'",drama,gyanendrabahadurdeuja
86,Rangeli,https://www.imdb.com/title/tt30516816/?ref_=sr_t_87,2024,missing,"'dayahang rai', 'miruna magar'",crime,arjunsubedi
87,Lobhi Papi,https://www.imdb.com/title/tt8282940/?ref_=sr_t_88,1990,A moralistic tale of two greedy men who forsake their liberty to hold on to wealth earned through undue means.,"'hari bansha acharya', 'laxmi giri'",comedy,yadavkharel
88,Bihe Pass,https://www.imdb.com/title/tt16492808/?ref_=sr_t_89,2022,"When a shady married man Bhagyaraj is caught in the illegal act by his wife's father, a government official, he must pass the Public Service Commission exam or risk...","'dayahang rai', 'prakriti shrestha'",comedy,prabeshpoudel
89,Chino,https://www.imdb.com/title/tt0315394/?ref_=sr_t_90,1991,After releasing from prison a criminal (Sunil Thapa) looks for revenge on a women who he had a crush on but than he hears the news about she been married for 10 years and had two children than he does everything to kill her family.,"'ramchandra adhikari', 'shrawan ghimire'","drama, romance",tulsighimire
90,Deuta,https://www.imdb.com/title/tt7228790/?ref_=sr_t_91,1993,"Srijana (Srijana Basnet) is an amateur painter who lives with her father (Tulsi Ghimire). She hesitates to marry the only son of her father's business partner. Instead, she wants some formal education in painting and go to visit her paternal aunt in a remote village. While there, she meets Sonam (Shrawan Ghimire) and Shankar (Rajesh Hamal). A love triangle starts among the three and flows through the course of time.","'srijana basnet', 'shrawan ghimire'","action, drama",tulsighimire
91,Firfire Firiri,https://www.imdb.com/title/tt33295151/?ref_=sr_t_92,2025,"The story follows four characters Ganga, Mega Baaje, Kammu, and Rana who come from diverse backgrounds .Their lives are Misérable until they encounter a supernatural event that traps them in an inescapable predicament.","'manoj kumar adhikari', 'shrestha sandeep'","comedy, drama, horror",nabbinbhatta
92,Kabaddi Kabaddi,https://www.imdb.com/title/tt5225580/?ref_=sr_t_93,2015,Kaji dreams of marrying Maiya but things go wrong when Bamkaji returns to the village who also wants to marry Maiya.,"'dayahang rai', 'saugat malla'","comedy, drama",rambabugurung
93,Sunkesari,https://www.imdb.com/title/tt7423858/?ref_=sr_t_94,2018,"Sunkesari tells the story of an Australian palace constructed around 1880 AD and how it is converted into a boutique hotel, and the strange tale of the supernatural beings that live among the hotel's corridors.","'reecha sharma', 'rabindra jha'","drama, horror",arpanthapa
94,Anyay,https://www.imdb.com/title/tt8227934/?ref_=sr_t_95,1989,missing,"'prakash adhikari', 'biswa basnet'",drama,tulsighimire
95,Ghamad Shere,https://www.imdb.com/title/tt12317310/?ref_=sr_t_96,2019,Foreign return Shere wants to do farming and buys a piece of land. Things turn upside down when that piece of land gets eroded by the flood.,"'nischal basnet', 'swastima khadka'",drama,hemrajbc
96,Kathmandu,https://www.imdb.com/title/tt2147361/?ref_=sr_t_97,2011,"Kathmandu, the capital city of Nepal is somewhat becoming fragile in terms of sociological and cultural facets. The city is deteriorating. The norms and values of family life is waning. Generation gap has accompanied various disastrous problems. The movie ""Kathmandu"" sheds light into the critical problems of family life in Kathmandu which could result to a fatal end. The deviation of youths is another grave scenario in Kathmandu. They are blown to carefree life where they fatally engross in multiple cases of drugs addiction, pre-marital sex, criminal attitudes and awful defiance of caretaker or guardian. They are just bewildered by the indifference of all.","'akash adhikari', 'ben-nabin adhikari'",family,akashadhikari
97,Jerryy,https://www.imdb.com/title/tt4620528/?ref_=sr_t_98,2014,"The two youths, Xavier Rana and Akanchha fell in love in Mustang while going for a trip from Pokhara. Rana was a playboy until he meets Akanchha.","'anmol k.c.', 'amalya sharma'",romance,hemrajbc
98,Intu Mintu Londonma,https://www.imdb.com/title/tt7672868/?ref_=sr_t_99,2018,"When Ishan (Dhiraj Magar) and Meera (Samragyee Rajya Laxmi Shah) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice.","'samragyee rajya laxmi shah', 'dhiraj magar'",romance,renashabantawarai
99,Chhakka Panja,https://www.imdb.com/title/tt6160932/?ref_=sr_t_100,2016,"Story of five friends Raja (Deepak Raj Giri), Saraswoti (Jeetu Nepal), Magne (Kedar Ghimire) and Buddhi (Buddhi Tamang). Raja is rich but illiterate and enjoys life, and tells his friends to not get married or hold any job. However, he secretly has affairs with married women.Then one day Raja gets married to Champa (Priyanka Karki), and the story enters a serious mode.","'deepak raj giri', 'kedar ghimire'","comedy, drama, family",deepashreeniraula
100,Captain,https://www.imdb.com/title/tt8387542/?ref_=sr_t_101,2019,Father's dedication to guiding his son to becoming a better footballer.,"'anmol k.c.', 'sunil thapa'","drama, sport",diwakarbhattarai
101,Bansuri,https://www.imdb.com/title/tt8524684/?ref_=sr_t_102,1981,missing,"'rakesh pandey', 'banni pradhan'","drama, romance",tulsighimire
102,A Mero Hajur 3,https://www.imdb.com/title/tt8475990/?ref_=sr_t_103,2019,An romantic relationship between a celebrity and his fan.,"'anmol k.c.', 'suhana thapa'","drama, romance",jharanathapa
103,Beauty and Brains,https://www.imdb.com/title/tt1765714/?ref_=sr_t_104,2010,"Would you enter a beauty contest to prevent abuse being part of your everyday life? Especially if by entering, you could lose your friends, family and education. That was what the third-genders of Nepal were prepared to do.","'sunil babu pant', 'subash pokharel'",documentary,catherinedonaldson
